
***** Phase 1 differential defect constraints *****
LOWER		G(X)		UPPER		SCALING
0.000000e+00	-8.009674e-20	0.000000e+00	5.771578e-03 ***
0.000000e+00	2.562971e-11	0.000000e+00	5.771251e-03 ***
0.000000e+00	1.146242e-11	0.000000e+00	5.771476e-03 ***
0.000000e+00	-3.809719e-17	0.000000e+00	2.429373e-02 ***
0.000000e+00	2.973461e-10	0.000000e+00	2.426962e-02 ***
0.000000e+00	1.337439e-10	0.000000e+00	2.428613e-02 ***
0.000000e+00	-1.885936e-16	0.000000e+00	3.677836e-02 ***
0.000000e+00	4.505426e-10	0.000000e+00	3.669673e-02 ***
0.000000e+00	2.052445e-10	0.000000e+00	3.675198e-02 ***
0.000000e+00	-5.141055e-16	0.000000e+00	4.939361e-02 ***
0.000000e+00	6.036281e-10	0.000000e+00	4.920320e-02 ***
0.000000e+00	2.804468e-10	0.000000e+00	4.932972e-02 ***
0.000000e+00	-1.039274e-15	0.000000e+00	6.103306e-02 ***
0.000000e+00	7.228844e-10	0.000000e+00	6.069143e-02 ***
0.000000e+00	3.447968e-10	0.000000e+00	6.091255e-02 ***
0.000000e+00	-1.743465e-15	0.000000e+00	7.127938e-02 ***
0.000000e+00	8.199965e-10	0.000000e+00	7.076781e-02 ***
0.000000e+00	4.040364e-10	0.000000e+00	7.108744e-02 ***
0.000000e+00	-2.567546e-15	0.000000e+00	7.983223e-02 ***
0.000000e+00	8.714117e-10	0.000000e+00	7.916372e-02 ***
0.000000e+00	4.461390e-10	0.000000e+00	7.956262e-02 ***
0.000000e+00	-3.418278e-15	0.000000e+00	8.645592e-02 ***
0.000000e+00	8.977710e-10	0.000000e+00	8.567348e-02 ***
0.000000e+00	4.801612e-10	0.000000e+00	8.611351e-02 ***
0.000000e+00	-4.199997e-15	0.000000e+00	9.097218e-02 ***
0.000000e+00	8.592143e-10	0.000000e+00	9.013893e-02 ***
0.000000e+00	4.824218e-10	0.000000e+00	9.057326e-02 ***
0.000000e+00	-4.829827e-15	0.000000e+00	9.326074e-02 ***
0.000000e+00	7.874095e-10	0.000000e+00	9.245062e-02 ***
0.000000e+00	4.661165e-10	0.000000e+00	9.283337e-02 ***
0.000000e+00	-5.202581e-15	0.000000e+00	9.326089e-02 ***
0.000000e+00	2.378327e-10	0.000000e+00	9.253709e-02 ***
0.000000e+00	1.489523e-10	0.000000e+00	9.283808e-02 ***
0.000000e+00	-5.325851e-15	0.000000e+00	9.097262e-02 ***
0.000000e+00	5.731281e-14	0.000000e+00	9.038394e-02 ***
0.000000e+00	5.984267e-15	0.000000e+00	9.059073e-02 ***
0.000000e+00	-4.397886e-15	0.000000e+00	8.645656e-02 ***
0.000000e+00	1.481386e-13	0.000000e+00	8.602093e-02 ***
0.000000e+00	1.498458e-13	0.000000e+00	8.614316e-02 ***
0.000000e+00	-1.138615e-15	0.000000e+00	7.983296e-02 ***
0.000000e+00	3.150972e-13	0.000000e+00	7.953768e-02 ***
0.000000e+00	3.612146e-13	0.000000e+00	7.959906e-02 ***
0.000000e+00	1.769202e-15	0.000000e+00	7.128007e-02 ***
0.000000e+00	1.957844e-13	0.000000e+00	7.109904e-02 ***
0.000000e+00	1.911231e-13	0.000000e+00	7.112392e-02 ***
0.000000e+00	1.727492e-15	0.000000e+00	6.103360e-02 ***
0.000000e+00	-3.881162e-14	0.000000e+00	6.093232e-02 ***
0.000000e+00	-4.726170e-14	0.000000e+00	6.093989e-02 ***
0.000000e+00	1.251513e-15	0.000000e+00	4.939395e-02 ***
0.000000e+00	3.976146e-14	0.000000e+00	4.934408e-02 ***
0.000000e+00	4.126068e-14	0.000000e+00	4.934517e-02 ***
0.000000e+00	1.065493e-15	0.000000e+00	3.677852e-02 ***
0.000000e+00	4.300404e-15	0.000000e+00	3.675881e-02 ***
0.000000e+00	8.406870e-16	0.000000e+00	3.675842e-02 ***
0.000000e+00	6.046571e-16	0.000000e+00	2.429378e-02 ***
0.000000e+00	-3.035678e-14	0.000000e+00	2.428812e-02 ***
0.000000e+00	-4.629745e-14	0.000000e+00	2.428785e-02 ***
0.000000e+00	1.435884e-16	0.000000e+00	5.771579e-03 ***
