example,mode,nv,meshes,solved,iters,time,obj,rc
alpine,IPOPT,722,1,0,,120.0,,137
alpine,SQP,722,1,0,,120.0,,137
bioreactor,IPOPT,550,3,3,,20.6,-6.163108e+00,0
bioreactor,SQP,220,1,0,,120.0,,137
brac1,IPOPT,162,1,1,,0.9,8.247591e-01,0
brac1,SQP,162,1,1,5,0.9,8.247591e-01,0
breakwell,IPOPT,602,1,1,,33.3,4.444439e+00,0
breakwell,SQP,602,1,0,,120.0,,137
bryson_denham,IPOPT,202,1,1,,1.0,3.999539e+00,0
bryson_denham,SQP,202,1,1,7,1.8,3.999539e+00,0
bryson_max_range,IPOPT,252,1,1,,0.6,-1.712313e+00,0
bryson_max_range,SQP,252,1,0,0,0.9,,0
catmix,IPOPT,122,1,1,,0.6,-4.805320e-02,0
catmix,SQP,122,1,1,19,1.2,-4.805316e-02,0
chain,IPOPT,102,2,2,,1.2,5.068480e+00,0
chain,SQP,102,2,2,22,0.8,5.068480e+00,0
chance_constraint,IPOPT,122,1,1,,0.6,1.387380e+01,0
chance_constraint,SQP,122,1,0,,120.0,,137
chance_covariance,IPOPT,242,1,1,,5.7,2.122481e+00,0
chance_covariance,SQP,242,1,1,4,1.4,2.122455e+00,0
climb,IPOPT,445,4,4,,13.7,3.211089e+02,0
climb,SQP,445,4,4,18,7.1,3.211088e+02,0
conic_sdp,IPOPT,122,1,1,,0.3,6.476960e-01,0
conic_sdp,SQP,122,1,1,2,0.2,6.476960e-01,0
conic_soc,IPOPT,152,2,1,,9.4,9.997282e-01,0
conic_soc,SQP,242,1,0,,120.0,,137
control_rate,IPOPT,162,1,1,,1.5,1.846315e+00,0
control_rate,SQP,162,1,1,4,9.3,1.846315e+00,0
coulomb,IPOPT,242,1,1,,1.0,2.104992e+00,0
coulomb,SQP,242,1,1,28,4.5,2.105341e+00,0
cracking,IPOPT,165,1,1,,0.7,5.228971e-03,0
cracking,SQP,165,1,1,29,2.6,5.228971e-03,0
crane,IPOPT,642,3,3,,16.7,5.151261e-03,0
crane,SQP,322,1,0,,120.0,,137
dae_i3,IPOPT,153,1,1,,1.7,2.421550e-18,0
dae_i3,SQP,153,1,1,3,2.8,1.088778e-17,0
delay1,IPOPT,371,3,3,,82.0,2.525738e+00,0
delay1,SQP,371,3,3,6,52.4,2.525738e+00,0
delay_history,IPOPT,,0,0,,93.3,,0
delay_history,SQP,,0,0,,53.1,,0
dqc,IPOPT,152,1,1,,0.6,6.000000e+00,0
dqc,SQP,152,1,1,8,32.8,6.000000e+00,0
f8,IPOPT,616,5,5,,1.4,3.780858e+00,0
f8,SQP,518,3,2,459,120.0,,137
fuller,IPOPT,,0,0,,8.2,,0
fuller,SQP,,0,0,,120.0,,137
geodesic,IPOPT,595,4,4,,1.0,5.549682e+03,0
geodesic,SQP,679,5,5,7,1.9,5.549677e+03,0
glider,IPOPT,752,5,5,,2.2,-1.250190e+03,0
glider,SQP,752,5,5,364,16.5,-1.250190e+03,0
goddard,IPOPT,94,2,2,,0.9,-1.025336e+00,0
goddard,SQP,94,2,2,165,3.1,-1.025336e+00,0
heat,IPOPT,782,3,3,,1.2,4.372837e-05,0
heat,SQP,782,3,3,5,1.8,4.372837e-05,0
hypersensitive,IPOPT,102,2,2,,0.5,1.330826e+00,0
hypersensitive,SQP,102,2,2,6,0.5,1.330826e+00,0
int_static_linear,IPOPT,,0,0,,0.1,,0
int_static_linear,SQP,,0,0,,0.2,,0
interior_point,IPOPT,84,1,1,,0.2,9.205314e-01,0
interior_point,SQP,84,1,1,3,0.2,9.205314e-01,0
isoperimetric,IPOPT,102,1,1,,0.7,-3.755058e-01,0
isoperimetric,SQP,102,1,0,0,0.9,,0
lambert,IPOPT,608,1,1,,0.7,0.000000e+00,0
lambert,SQP,608,1,1,0,0.9,0.000000e+00,0
launch,IPOPT,798,2,2,,4.6,-7.529661e+03,0
launch,SQP,658,1,0,,120.0,,137
lotka,IPOPT,3202,5,5,,20.4,1.344098e+00,0
lotka,SQP,1602,4,3,121,120.0,1.344236e+00,137
lotka2,IPOPT,4482,5,5,,26.6,1.088051e+00,0
lotka2,SQP,1122,3,2,282,120.0,1.089094e+00,137
low_thrust,IPOPT,1495,4,4,,29.4,-2.203403e-01,0
low_thrust,SQP,803,1,0,,120.0,,137
lqr_gauss,IPOPT,63,1,1,,0.1,5.104614e-01,0
lqr_gauss,SQP,63,1,1,2,0.1,5.104614e-01,0
lqr_radau,IPOPT,62,1,0,,0.2,,0
lqr_radau,SQP,62,1,1,2,0.1,5.104614e-01,0
lts,IPOPT,152,2,2,,0.4,5.545709e-01,0
lts,SQP,152,2,2,30,4.8,5.545709e-01,0
manutec,IPOPT,326,5,5,,1.4,2.040610e+01,0
manutec,SQP,326,5,5,12,1.7,2.040610e+01,0
mineng_di,IPOPT,122,1,1,,0.5,6.000000e+00,0
mineng_di,SQP,122,1,1,2,0.3,6.000000e+00,0
mineng_free_vf,IPOPT,122,1,1,,0.5,1.500000e+00,0
mineng_free_vf,SQP,122,1,1,2,0.3,1.500000e+00,0
mineng_target_set,IPOPT,122,1,1,,0.5,2.142857e-01,0
mineng_target_set,SQP,122,1,1,2,2.0,2.142857e-01,0
missile,IPOPT,482,2,2,,0.9,4.091755e+01,0
missile,SQP,482,2,2,10,1.8,4.091754e+01,0
mixed_ic,IPOPT,242,2,2,,0.5,1.250885e+00,0
mixed_ic,SQP,242,2,2,8,0.5,1.250811e+00,0
moon,IPOPT,202,1,1,,0.8,1.420405e+00,0
moon,SQP,202,1,0,20,81.7,,0
mpec,IPOPT,769,7,7,,0.9,1.653598e+00,0
mpec,SQP,741,7,7,12,2.9,1.654223e+00,0
notorious,IPOPT,163,1,1,,4.2,8.806615e-01,0
notorious,SQP,163,1,1,7,10.4,8.806619e-01,0
obstacle,IPOPT,242,2,2,,4.4,4.571044e+00,0
obstacle,SQP,242,2,2,0,6.7,4.571044e+00,0
param2,IPOPT,124,1,1,,2.0,4.049845e+02,0
param2,SQP,124,1,1,34,7.0,4.049845e+02,0
