example,meshes,solved,iters,obj,rc
alpine,1,0,,,137
bioreactor,2,0,23,,137
brac1,1,1,23,8.247591e-01,0
breakwell,1,0,,,137
bryson_denham,1,1,14,3.999539e+00,0
bryson_max_range,1,1,16,-1.712373e+00,0
catmix,1,1,26,-4.805316e-02,0
chain,2,2,39,5.068480e+00,0
chance_constraint,1,0,,,137
chance_covariance,1,1,33,2.122455e+00,0
climb,4,4,25,3.211089e+02,0
conic_sdp,1,1,2,6.476960e-01,0
conic_soc,2,1,6,9.997282e-01,0
control_rate,1,1,4,1.846315e+00,0
coulomb,1,0,,,137
cracking,1,1,32,5.228971e-03,0
crane,1,0,,,137
dae_i3,1,0,,,137
delay1,3,3,13,2.525738e+00,0
delay_history,CONTAMINATED,,,,
dqc,1,1,6,6.000000e+00,0
f8,3,2,465,,137
fuller,CONTAMINATED,,,,
geodesic,4,4,11,5.549682e+03,0
glider,5,5,394,-1.250190e+03,0
goddard,2,2,184,-1.025336e+00,0
heat,3,3,10,4.372837e-05,0
hypersensitive,2,2,11,1.330826e+00,0
int_static_linear,CONTAMINATED,,,,
interior_point,1,1,3,9.205314e-01,0
isoperimetric,1,1,89,-3.755058e-01,0
lambert,1,1,3,0.000000e+00,0
launch,1,0,,,137
lotka,3,2,128,1.344997e+00,137
lotka2,3,2,301,1.089094e+00,137
low_thrust,1,0,,,137
lqr_gauss,1,1,2,5.104614e-01,0
lqr_radau,1,1,2,5.104614e-01,0
lts,2,2,18,5.545708e-01,0
manutec,5,5,13,2.040610e+01,0
mineng_di,1,1,3,6.000000e+00,0
mineng_free_vf,1,0,,,137
mineng_target_set,1,0,,,137
missile,2,2,20,4.091754e+01,0
mixed_ic,2,2,8,1.250811e+00,0
moon,1,1,21,1.420437e+00,0
mpec,7,7,12,1.654226e+00,0
notorious,1,0,10,,0
obstacle,2,0,0,,0
param2,1,1,48,4.049845e+02,0
path_window,1,0,,,137
predator,5,5,85,2.753366e-02,0
rayleigh,1,0,,,137
reorientation,1,0,,,137
shuttle_reentry,1,0,,,137
singular5,1,0,,,137
singular_di,1,1,4,3.333328e+00,0
stc1,2,2,5,1.698180e-01,0
steps,1,1,4,1.000000e+00,0
twoburn,1,0,,,137
twolinkarm,1,0,,,137
twophase_robot,1,1,4,1.042533e+00,0
twophase_schwartz,1,1,14,2.097690e-20,0
user,1,1,16,-1.712373e+00,0
wheat,7,7,283,-1.742574e+00,0
x1,MISSING,,,,
zpm,1,0,,,137
DONE
